allele,genbankNucleotideAccession,genbankProteinAccession,refseqNucleotideAccession,refseqProteinAccession,ncbiFamily,expectedPhenotype,class,subclass,extendedAnnotation,nodeId,geneFamily,tier,mrsnSuperFamily
,L11078.1,AAA16360.1,,WP_263305202.1,stxA2b,Virulence,Virulence,,Shiga toxin Stx2b subunit A,stxA2b,stxA2,4,stx
,L11078.1,AAA16361.1,,WP_000719322.1,stxB2b,Virulence,Virulence,,Shiga toxin Stx2b subunit B,stxB2b,stxB2,4,stx
,L11079.1,AAA16362.1,,WP_263305203.1,stxA2c,Virulence,Virulence,,Shiga toxin Stx2c subunit A,stxA2c,stxA2,4,stx
,U09235.1,AAA18472.1,,WP_038892553.1,ystA,Virulence,Virulence,,ST-I family heat-stable enterotoxin YstA,ystA,ystA,4,yst
,U04208.1,AAA18786.1,,WP_107529136.1,cdtB_II,Virulence,Virulence,,cytolethal distending toxin type II nuclease subunit CdtB,cdtB_II,cdtB,4,cdt
,M21534.1,AAA19189.1,,WP_001372428.1,stxA2e,Virulence,Virulence,,Shiga toxin Stx2e subunit A,stxA2e,stxA2,4,stx
,M21534.1,AAA19190.1,,WP_000738063.1,stxB2e,Virulence,Virulence,,Shiga toxin Stx2e subunit B,stxB2e,stxB2,4,stx
,M59432.1,AAA19623.1,,WP_000649753.1,stxA2_acd,Virulence,Virulence,,Shiga toxin Stx2 subunit A,stxA2_acd,stxA2,4,stx
,U11702.1,AAA19777.1,,WP_000608674.1,seh,Virulence,Virulence,,staphylococcal enterotoxin type H,seh,seh,4,seh
,L11241.1,AAA20885.1,,WP_263305204.1,astA,Virulence,Virulence,,heat-stable enterotoxin EAST1,astA,astA,4,ast
,J02591.1,AAA21094.1,,WP_131199602.1,arsA,Other non-antimicrobial: Arsenite,Other non-antimicrobial,Arsenite,arsenite efflux transporter ATPase subunit ArsA,arsA,arsA,4,ars
,J02591.1,AAA21095.1,,WP_063116263.1,arsB_R773,Other non-antimicrobial: Arsenite,Other non-antimicrobial,Arsenite,arsenite efflux transporter membrane subunit ArsB,arsB_R773,arsB,4,ars
,J02591.1,AAA21096.1,,WP_011117598.1,arsC_gluta,Other non-antimicrobial: Arsenate,Other non-antimicrobial,Arsenate,glutaredoxin-dependent arsenate reductase,arsC_gluta,arsC,4,ars
,M80837.1,AAA23235.1,,WP_003458888.1,etx,Virulence,Virulence,,epsilon toxin type B,etx,etx,4,etx
,M92906.1,AAA23263.1,,WP_324618485.1,bont_F6,Virulence,Virulence,,botulinum neurotoxin subtype F6,bont_F6,bont_F6,4,bont
,M35257.1,AAA23405.1,,WP_114140022.1,fasA,Virulence,Virulence,,F6 fimbrial major subunit FasA,fasA,fasA,4,fasA
,M21788.1,AAA23421.1,,WP_063080188.1,fim41a,Virulence,Virulence,,fimbrial adhesin F41 protein Fim41a,fim41a,fim41a,4,fim41a
,M15677.1,AAA23523.1,,WP_001049524.1,bmaE,Virulence,Virulence,,M agglutinin-type afimbrial adhesin BmaE/AfaE-8,bmaE,bmaE,4,bma
,M61713.1,AAA23734.1,,WP_063502470.1,fedA,Virulence,Virulence,,F18 fimbrial major subunit FedA,fedA,fedA,4,fed
,L14319.1,AAA23736.1,,WP_131199594.1,f17g,Virulence,Virulence,,F17G fimbrial adhesin,f17g,f17g,4,f17
,L14318.1,AAA23737.1,,WP_131199595.1,f17a,Virulence,Virulence,,F17A fimbrial adhesin,f17a,f17a,4,f17
,M29374.1,AAA24032.1,,WP_096969423.1,faeG,Virulence,Virulence,,F4 (K88) fimbria major subunit/adhesin FaeG,faeG,faeG,4,faeG
,M29376.1,AAA24035.1,,WP_263305205.1,faeG,Virulence,Virulence,,F4 (K88) fimbria major subunit/adhesin FaeG,faeG,faeG,4,faeG
,M20181.1,AAA24293.1,,WP_151505562.1,papG-II,Virulence,Virulence,,P fimbria tip G-adhesin PapG-II,papG-II,papG-II,4,pap
,M25302.1,AAA24390.1,,WP_063096999.1,faeG,Virulence,Virulence,,F4 (K88) fimbria major subunit/adhesin FaeG,faeG,faeG,4,faeG
,M29153.1,AAA24632.1,,WP_086259014.1,stxA2f,Virulence,Virulence,,Shiga toxin Stx2f subunit A,stxA2f,stxA2,4,stx
,M29153.1,AAA24633.1,,WP_000738206.1,stxB2f,Virulence,Virulence,,Shiga toxin Stx2f subunit B,stxB2f,stxB2,4,stx
,M25607.1,AAA24653.1,,WP_263305206.1,sta1,Virulence,Virulence,,heat-stable enterotoxin ST-I group a,sta1,sta1,4,sta
,AF218073.1,AAA24698.1,,WP_001080137.1,tsh,Virulence,Virulence,,temperature-sensitive protease autotransporter hemagglutinin Tsh,tsh,tsh,4,tsh
,L28104.1,AAA25276.1,,WP_003728467.1,cadC_Lm,Other non-antimicrobial: Cadmium,Other non-antimicrobial,Cadmium,Cd(II)-sensing metalloregulatory transcriptional repressor CadC,cadC_Lm,cadC,4,cad
,M86824.1,AAA25636.1,,WP_000120606.1,arsR_pI258,Other non-antimicrobial: Arsenic,Other non-antimicrobial,Arsenic,As(III)-sensing metalloregulatory transcriptional repressor ArsR,arsR_pI258,arsR,4,ars
,M86824.1,AAA25637.1,,WP_000153629.1,arsB_pI258,Other non-antimicrobial: Arsenite,Other non-antimicrobial,Arsenite,arsenite efflux transporter membrane subunit ArsB,arsB_pI258,arsB,4,ars
,M86824.1,AAA25638.1,,WP_000358995.1,arsC_thio,Other non-antimicrobial: Arsenate,Other non-antimicrobial,Arsenate,thioredoxin-dependent arsenate reductase,arsC_thio,arsC,4,ars
,L05176.1,AAA25803.1,,WP_015062132.1,copR,Other non-antimicrobial: Copper,Other non-antimicrobial,Copper,heavy metal response regulator transcription factor CopR,copR,copR,4,cop
,L05176.1,AAA25804.1,,WP_131162702.1,copS,Other non-antimicrobial: Copper,Other non-antimicrobial,Copper,copper resistance membrane spanning protein CopS,copS,copS,4,cop
,M19930.1,AAA25806.1,,WP_054090693.1,multi_CopA,Other non-antimicrobial: Copper,Other non-antimicrobial,Copper,laccase-like oxidase CopA,multi_CopA,copA,4,cop
,M19930.1,AAA25807.1,,WP_015062130.1,bind_CopB,Other non-antimicrobial: Copper,Other non-antimicrobial,Copper,copper-binding protein CopB,bind_CopB,copB,4,cop
,M19930.1,AAA25808.1,,WP_003317555.1,copC_Psyr,Other non-antimicrobial: Copper,Other non-antimicrobial,Copper,copper homeostasis periplasmic binding protein CopC,copC_Psyr,copC,4,cop
